+1 1:2.530785 2:0.71370125 3:7.2287755 
+1 1:4.1577883 2:-7.090851 3:0.33063912 
+1 1:-0.3853805 2:2.7664766 3:-7.2958884 
+1 1:2.691299 2:6.8941913 3:-7.918186 
+1 1:3.1110868 2:-8.287287 3:-2.025624 
+1 1:3.4803052 2:0.40481758 3:-1.6670994 
+1 1:2.672473 2:-7.1999397 3:-2.5624921 
+1 1:1.7771306 2:6.5427523 3:-6.9628096 
+1 1:3.187139 2:0.22892952 3:-2.259615 
+1 1:-16.557 2:-6.368766 3:-7.5661955 
+1 1:4.0486565 2:5.1267037 3:-8.592226 
+1 1:-3.6820712 2:-4.54827 3:1.245165 
+1 1:-3.8941476 2:-4.2147913 3:-5.2891817 
+1 1:5.0457926 2:-1.3029613 3:7.597763 
+1 1:4.269451 2:0.4719906 3:-0.89329815 
+1 1:2.6258223 2:-1.812089 3:-1.9531565 
+1 1:1.9041114 2:0.83632946 3:3.4235375 
+1 1:3.2964149 2:1.3619566 3:-2.3863451 
+1 1:-2.7382207 2:-1.7846498 3:1.6335262 
+1 1:-2.7847147 2:0.7271023 3:-4.537069 
+1 1:2.164763 2:-0.15027332 3:11.464053 
+1 1:-7.4907675 2:-2.6224413 3:1.0641681 
